Stock No.,Institution name,Genus,Species,Division,Class,Synonym,Place name,Habitats,Details of habitat,Details on the freshwater environment,Details on the marine environment,State of algal and cyanobacterial strain,Preservation state,Cryopreservation,Environmental characteristics,Physiological and ecological characteristics,"Other characteristics
"
NIES-3781,National Institute for Environmental Studies,Volvox,reticuliferus,Chlorophyta,Chlorophyceae,,"Lake Biwa,",,,Lake,,Unialgal; Clonal; Axenic[2022 Apr],Subculture,Uncertain,,Phototaxis,"Heterothallic; Dioecious; Oogamy; Male; F1 strains (NIES-3785, 3786)
"
NIES-3782,National Institute for Environmental Studies,Volvox,reticuliferus,Chlorophyta,Chlorophyceae,,"Lake Biwa,",,,Lake,,Unialgal; Clonal; Axenic[2022 Apr],Subculture,Uncertain,,Phototaxis,"Authentic strain (Nozaki et al. 2016); Heterothallic; Dioecious; Oogamy; Female; F1 strains (NIES-3785, 3786)
"
NIES-3783,National Institute for Environmental Studies,Volvox,reticuliferus,Chlorophyta,Chlorophyceae,,"Lake Biwa,",,,Lake,,Unialgal; Clonal; Axenic[2022 Apr],Subculture,Uncertain,,Phototaxis,"Heterothallic; Dioecious; Oogamy; Male; F1 strains (NIES-3785, 3786)
"
NIES-3784,National Institute for Environmental Studies,Volvox,africanus,Chlorophyta,Chlorophyceae,,,,,,,Unialgal; Clonal; Axenic[2022 Apr],Subculture,Uncertain,,Phototaxis,"F1 clone of NIES-3780; Homothallic; Monoecious with male; Oogamy
"
NIES-3785,National Institute for Environmental Studies,Volvox,reticuliferus,Chlorophyta,Chlorophyceae,,,,,,,Unialgal; Clonal; Axenic[2022 Apr],Subculture,Uncertain,,Phototaxis,"F1 progeny strain of NIES-3781, 3782 and 3783; Heterothallic; Dioecious; Oogamy; Female; Genome decoded strain (Yamamoto et al. 2021)
"
NIES-3786,National Institute for Environmental Studies,Volvox,reticuliferus,Chlorophyta,Chlorophyceae,,,,,,,Unialgal; Clonal; Axenic[2022 Apr],Subculture,Uncertain,,Phototaxis,"F1 progeny strain of NIES-3781, 3782 and 3783; Heterothallic; Dioecious; Oogamy; Male; Genome decoded strain (Yamamoto et al. 2021)
"
NIES-3787,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,,Lake,,Unialgal; Clonal; Axenic[2019 Jan],Cryopreservation,Uncertain,Cyanobacterial water bloom (aoko),,"Genome decoded strain (Yamaguchi et al. 2020)
"
NIES-3788,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,Cyanobacterial water bloom (aoko),,"
"
NIES-3789,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,Cyanobacterial water bloom (aoko),,"
"
NIES-3790,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,Cyanobacterial water bloom (aoko),,"
"
NIES-3791,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,Cyanobacterial water bloom (aoko),,"
"
NIES-3792,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,Cyanobacterial water bloom (aoko),,"
"
NIES-3793,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,Cyanobacterial water bloom (aoko),,"
"
