Stock No.,Institution name,Genus,Species,Division,Class,Synonym,Place name,Habitats,Details of habitat,Details on the freshwater environment,Details on the marine environment,State of algal and cyanobacterial strain,Preservation state,Cryopreservation,Environmental characteristics,Physiological and ecological characteristics,"Other characteristics
"
NIES-1,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hemieutreptia antiqua Hada 1974; Chattonella antiqua (Hada) Ono 1980,"Harima-Nada, Seto Inland Sea",,Eutrophic,,Coastal,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-2,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hemieutreptia antiqua Hada 1974; Chattonella antiqua (Hada) Ono 1980,"Osaka Bay,",,,,Inner bay,Unialgal; Clonal; Non-axenic[2013 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-3,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hornellia marina Subrahmanyan 1954,"Osaka Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-5,National Institute for Environmental Studies,Heterosigma,akashiwo,Heterokontophyta,Raphidophyceae,Entomosigma akashiwo Y.Hada; Chattonella akashiwo (Y.Hada) Loeblich III 1979; Olisthodiscus carterae Hulburt 1965; Heterosigma inlandica Hada 1968; Chattonella inlandica (Y.Hada) Loeblich III & Fine 1977; Heterosigma carterae (Hulbert) F.J.R.Taylor 1992,"Gokasho Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-6,National Institute for Environmental Studies,Heterosigma,akashiwo,Heterokontophyta,Raphidophyceae,Entomosigma akashiwo Y.Hada; Chattonella akashiwo (Y.Hada) Loeblich III 1979; Olisthodiscus carterae Hulburt 1965; Heterosigma inlandica Hada 1968; Chattonella inlandica (Y.Hada) Loeblich III & Fine 1977; Heterosigma carterae (Hulbert) F.J.R.Taylor 1992,"Osaka Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-7,National Institute for Environmental Studies,Heterocapsa,triquetra,Dinophyta,Dinophyceae,Glenodinium triquetrum Ehrenberg; Peridinium triquetra (Ehrenbourg) Lebour 1925; Properidinium heterocapsa (Stein) Meunier 1919; Peridinium triquetrum Schiller 1937,"Osaka Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-8,National Institute for Environmental Studies,Chrysotila,roscoffensis,Haptophyta,Prymnesiophyceae,Syracosphaera roscoffensis P.J.L.Dangeard; Aulacochlamys roscoffensis (P.A.Dangeard) Margalef; Pontosphaera roscoffensis (P.A.Dangeard) Deflandre; Syracolithus roscoffensis (P.A.Dangeard) Magne; Cricosphaera roscoffensis (Dangeard) Gayral & Fresnel; Pleurochrysis roscoffensis (Dangeard) Fresnel & Billard,"Osaka Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-9,National Institute for Environmental Studies,Heterosigma,akashiwo,Heterokontophyta,Raphidophyceae,Entomosigma akashiwo Y.Hada; Chattonella akashiwo (Y.Hada) Loeblich III 1979; Olisthodiscus carterae Hulburt 1965; Heterosigma inlandica Hada 1968; Chattonella inlandica (Y.Hada) Loeblich III & Fine 1977; Heterosigma carterae (Hulbert) F.J.R.Taylor 1992,"Harima-Nada, Seto Inland Sea",,Eutrophic,,Coastal,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-10,National Institute for Environmental Studies,Heterosigma,akashiwo,Heterokontophyta,Raphidophyceae,Entomosigma akashiwo Y.Hada; Chattonella akashiwo (Y.Hada) Loeblich III 1979; Olisthodiscus carterae Hulburt 1965; Heterosigma inlandica Hada 1968; Chattonella inlandica (Y.Hada) Loeblich III & Fine 1977; Heterosigma carterae (Hulbert) F.J.R.Taylor 1992,"Harima-Nada, Seto Inland Sea",,Eutrophic,,Coastal,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-12,National Institute for Environmental Studies,Prorocentrum,micans,Dinophyta,Dinophyceae,Prorocentrum schilleri B?hrn 1931; Prorocentrum levantinoides Bursa 1959; Prorocentrum pacificum E.J.F.Wood 1963,"Osaka Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-14,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hornellia marina Subrahmanyan 1954,"Harima-Nada, Seto Inland Sea",,Eutrophic,,Coastal,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-15,National Institute for Environmental Studies,Olisthodiscus,tomasii,Heterokontophyta,Olisthodiscophyceae,,"Seto Inland Sea,",,Eutrophic,,Coastal,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"Authentic strain, Holotype (Barcyt? et al. 2021); 
"
NIES-16,National Institute for Environmental Studies,Skeletonema,marinoi-dohrnii complex,Heterokontophyta,Bacillariophyceae,,"Harima-Nada, Seto Inland Sea",,Eutrophic,,Coastal,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,Red tide,Planktonic,"DNA sequencing indicates this strain is included in Skeletonema marinoi/dohrnii clade
"
NIES-17,National Institute for Environmental Studies,Skeletonema,marinoi-dohrnii complex,Heterokontophyta,Bacillariophyceae,,"Harima-Nada, Seto Inland Sea",,Eutrophic,,Coastal,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,Red tide,Planktonic,"DNA sequencing indicates this strain is included in Skeletonema marinoi/dohrnii clade
"
NIES-18,National Institute for Environmental Studies,Tetraselmis,cordiformis,Chlorophyta,Prasinophyceae,Cryptoglena cordiformis H.J.Carter 1858; Carteria cordiformis (H.J.Carter) Diesing 1866; Pteromonas angulosa var. cordiformis (H.J.Carter) Philipose 1958; Pyramichlamys cordiformis (H.J.Carter) H.Ettl & O.Ettl 1959,"Shimokubo Dam,",,,Dam Reservoir,,Unialgal; Clonal; Axenic[2018 Jan],Subculture,Uncertain,Other water bloom,"Starch production (Shimonaga, T. 2008)","
"
NIES-19,National Institute for Environmental Studies,Anabaena,cylindrica,Cyanophyta,Cyanophyceae,Anabaena subcylindrica Borge 1921,,,,,,Unialgal; Non-clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"
"
NIES-21,National Institute for Environmental Studies,Anabaenopsis,circularis,Cyanophyta,Cyanophyceae,Anabaenopsis elenkinii f. circularis (G.S.West) Jeeji-Bai null; Anabaena flor-aquae var. circularis G.S.West 1907; Anabaena circularis var. javanica Woloszynska null; Anabaenopsis circularis f. typica Usachev 1938,,,,,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,Yes,,,"Genome decoded strain
"
NIES-22,National Institute for Environmental Studies,Calothrix,brevissima,Cyanophyta,Cyanophyceae,,"Palau Isl.,",,,,,Unialgal; Non-clonal; Axenic[2018 Feb],Cryopreservation,Yes,,Nitrogen fixation@(aerobic condition),"Chromatic adaptation
"
NIES-23,National Institute for Environmental Studies,Anabaena,variabilis,Cyanophyta,Cyanophyceae,,,,,,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Genome decoded strain
"
NIES-24,National Institute for Environmental Studies,Nostoc,commune,Cyanophyta,Cyanophyceae,,"Kurobe Gorge,",,,,,Unialgal; Non-clonal; Non-axenic,Cryopreservation,Yes,Drought tolerance,Epiphytic,"
"
NIES-25,National Institute for Environmental Studies,Nostoc,linckia,Cyanophyta,Cyanophyceae,,,,,,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,Uncertain,,,"Genome decoded strain
"
NIES-26,National Institute for Environmental Studies,Nostoc,minutum,Cyanophyta,Cyanophyceae,,"Ishigaki Isl.,",,,,,Unialgal; Non-clonal; Non-axenic,Cryopreservation,Uncertain,,,"Chromatic adaptation
"
NIES-27,National Institute for Environmental Studies,Spirulina,subsalsa,Cyanophyta,Cyanophyceae,,,,,,,Unialgal; Clonal; Axenic[2014 Jan.],Cryopreservation,Uncertain,,,"
"
NIES-28,National Institute for Environmental Studies,Nostoc,linckia,Cyanophyta,Cyanophyceae,,,,,,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,Yes,,,"
"
NIES-29,National Institute for Environmental Studies,Nostoc,minutum,Cyanophyta,Cyanophyceae,,"Ishigaki Isl.,",,,,,Unialgal; Non-clonal; Non-axenic,Cryopreservation,Uncertain,,,"
"
NIES-30,National Institute for Environmental Studies,Leptolyngbya,sp.,Cyanophyta,Cyanophyceae,,,,,Rice field,,Unialgal; Non-clonal; Non-axenic,Cryopreservation,Yes,,,"Genome decoded strain (Zhu et al. 2017)
"
NIES-31,National Institute for Environmental Studies,Oscillatoria,laetevirens,Cyanophyta,Cyanophyceae,,"Kawaji Hot Spring,",,,,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-32,National Institute for Environmental Studies,Phormidium,foveolarum,Cyanophyta,Cyanophyceae,,"Lake Shirakaba,",,,,,Unialgal; Non-clonal; Non-axenic,Cryopreservation,Yes,,,"
"
NIES-33,National Institute for Environmental Studies,Oscillatoria,tenuis,Cyanophyta,Cyanophyceae,,,,,,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,,,"
"
NIES-34,National Institute for Environmental Studies,Phormidium,foveolarum,Cyanophyta,Cyanophyceae,,"Sakunami Hot Spring,",,,,,Unialgal; Non-clonal; Non-axenic,Cryopreservation,Yes,,,"
"
NIES-35,National Institute for Environmental Studies,Raphidocelis,subcapitata,Chlorophyta,Chlorophyceae,Ankistrodesmus subcapitatus Korshikov; Kirchneriella subcapitata Korshikov 1953; Kirchneria subcapitata (Korshikov) Hind?k 1988; Pseudokirchneriella subcapitata (Korshikov) F.Hind?k 1990,"Nitelva River,",,,,,Unialgal; Clonal; Axenic[2017 Dec],Subculture / Cryopreservation,Yes,Test strain for AGP,,"Genome decoded strain (Suzuki et al. 2018)
"
NIES-36,National Institute for Environmental Studies,Oscillatoria,limnetica,Cyanophyta,Cyanophyceae,,,,,School garden,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,,,"
"
NIES-37,National Institute for Environmental Studies,Tolypothrix,tenuis,Cyanophyta,Cyanophyceae,,"Borneo Isl.,",,,,,Unialgal; Non-clonal; Non-axenic,Cryopreservation,Yes,,Heterotrophic; Nitrogen fixation@(aerobic condition); Chromatic adaptation; Material for studying on phycobilin production,"Material for studying on phycobilin production; Genome decoded strain
"
NIES-38,National Institute for Environmental Studies,Nostoc,commune,Cyanophyta,Cyanophyceae,,Marble Point,,,,,Unialgal; Non-clonal; Non-axenic,Cryopreservation,Yes,Drought tolerance,,"
"
NIES-39,National Institute for Environmental Studies,Arthrospira,platensis,Cyanophyta,Cyanophyceae,Oscillatoria platensis (Gomont) Bourrelly 1970,"Lake Chad,",,,Salt lake,,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,,Autotrophic,"Genome decoded strain (Fujisawa et al. 2010); Hydrogen evolution; Contains good quality of proteins
"
NIES-40,National Institute for Environmental Studies,Dolichospermum,affine,Cyanophyta,Cyanophyceae,Anabaena affinis Lemmermann 1898; Anabaena catenula var. affinis (Lemmermann) Geitler 1932; Anabaena affinis var. holsatica Lemmermann 1903,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,Cyanobacterial water bloom (aoko),,"
"
NIES-41,National Institute for Environmental Studies,Dolichospermum,circinale,Cyanophyta,Cyanophyceae,Anabaena circinalis Rabenhorst ex Bornet & Flahault 1886; Cylindrospermum circinale (Rabenhorst ex Bornet & Flahault) Frank 1886; Anabaena flos-aquae var. circinalis (Rabenhorst ex Bornet & Flahault) D.Saunders 1894; Anabaena hassallii Wittrock ex Lemmermann 1907; Anabaena hassallii f. typica Elenkin 1938; Anabaena spiroides f. hassallii Pankow 1965,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2021 May],Subculture,Uncertain,Cyanobacterial water bloom (aoko); Offensive odor,,"
"
NIES-42,National Institute for Environmental Studies,Aphanothece,elabens,Cyanophyta,Cyanophyceae,,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"
"
NIES-44,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST1 (Tanabe et al. 2007); Genome decoded strain (Okano et al. 2015)
"
NIES-45,National Institute for Environmental Studies,Planktothrix,spiroides,Cyanophyta,Cyanophyceae,,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,Cyanobacterial water bloom (aoko),,"
"
NIES-46,National Institute for Environmental Studies,Arthrospira,platensis,Cyanophyta,Cyanophyceae,Oscillatoria platensis (Gomont) Bourrelly 1970,"Lake Texcoco,",,,Salt lake,,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Cyanobacterial water bloom (aoko),Autotrophic,"Hydrogen evolution
"
NIES-47,National Institute for Environmental Studies,Euglena,gracilis,Euglenozoa,Euglenophyceae,,,,,,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,Material for Vitamin B<sub>12 </sub>bioassay,"
"
NIES-48,National Institute for Environmental Studies,Euglena,gracilis,Euglenozoa,Euglenophyceae,,,,,,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,Material for Vitamin B<sub>12 </sub>bioassay,"
"
NIES-49,National Institute for Environmental Studies,Euglena,gracilis,Euglenozoa,Euglenophyceae,,,,,,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"
"
NIES-50,National Institute for Environmental Studies,Aulosira,laxa,Cyanophyta,Cyanophyceae,,"Pusa,",,,Rice field,,Unialgal; Non-clonal; Axenic[2018 Feb],Cryopreservation,Yes,,Nitrogen fixation@(aerobic condition),"Genome decoded strain
"
NIES-51,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"Heterothallic: Mating type(+); Mating group II A
"
NIES-52,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Axenic[2017 Nov],Subculture,Uncertain,,,"Heterothallic: Mating type(|); Mating group II A
"
NIES-53,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Axenic[2017 Nov],Subculture,Uncertain,,,"Heterothallic: Mating type(+); Mating group II A
"
NIES-54,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Axenic[2017 Nov],Subculture,Uncertain,,,"Heterothallic: Mating type(|); Mating group II A
"
NIES-55,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Axenic[2017 Nov],Subculture,Uncertain,,,"Heterothallic: Mating type(|); Mating group II C
"
NIES-56,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Axenic[2017 Nov],Subculture,Uncertain,,,"Heterothallic: Mating type(|); Mating group II A
"
NIES-58,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"Heterothallic: Mating type(|); Mating group II A
"
NIES-59,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Heterothallic: Mating type(+); Mating group II A
"
NIES-60,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Heterothallic: Mating type(+); Mating group II B
"
NIES-61,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Heterothallic: Mating type(|); Mating group II B
"
NIES-62,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Heterothallic: Mating type(+); Mating group II A
"
NIES-63,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"Heterothallic: Mating type(|); Mating group II A
"
NIES-64,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Heterothallic: Mating type(|); Mating group II B
"
NIES-65,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Heterothallic: Mating type(+); Mating group II B
"
NIES-66,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,"Piuthan,",,,Pond,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"Heterothallic: Mating type(+); Mating group I A
"
NIES-67,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,"Damchan,",,,Rain water pool,,Unialgal; Clonal; Axenic[2019 Jan],Subculture,Uncertain,,,"Heterothallic: Mating type(+); Mating group I B; Genome decoded strain (Sekimoto et al. 2023)
"
NIES-68,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,"Damchan,",,,Rain water pool,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Heterothallic: Mating type(|); Mating group I B; Genome decoded strain (Sekimoto et al. 2023)
"
NIES-69,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,"Lake Teganuma,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"Heterothallic: Mating type(+); Mating group II B
"
NIES-70,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,"Lake Teganuma,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Heterothallic: Mating type(|); Mating group II B
"
NIES-71,National Institute for Environmental Studies,Achnanthidium,minutissimum,Heterokontophyta,Bacillariophyceae,Achnanthes minutissima K?tzing 1833; Achnanthidium lanceolatum f. minutissima (K?tzing) T?m?svary 1879; Cocconeis minutissima (K?tzing) Sch?nfeldt 1907; Microneis minutissima (K?tzing) Meister 1912,"Kosaka River,",,,River,,Unialgal; Clonal; Axenic[2018 Jan],Subculture,Uncertain,"Test strain for AGP etc. (Ishihara, S. et al. 2006; Nagai, T., 2016)",,"
"
NIES-73,National Institute for Environmental Studies,Sphaerospermopsis,kisseleviana,Cyanophyta,Cyanophyceae,Anabaena kisseleviana Elenkin; Sphaerospermum kisselevianum (Elenkin) Zapomelov? et al.  2009,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,Uncertain,Cyanobacterial water bloom (aoko),Planktonic,"Genome decoded strain
"
NIES-74,National Institute for Environmental Studies,Sphaerospermopsis,kisseleviana,Cyanophyta,Cyanophyceae,Anabaena kisseleviana Elenkin; Sphaerospermum kisselevianum (Elenkin) Zapomelov? et al.  2009,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,Cyanobacterial water bloom (aoko),Planktonic,"
"
NIES-75,National Institute for Environmental Studies,Dolichospermum,flos-aquae,Cyanophyta,Cyanophyceae,Anabaena flos-aquae Br?bisson ex Bornet & Flauhault 1886; Anabaena flos-aquae var. genuina Kirchner 0; Anabaena flos-aquae f. typica Elenkin 1938,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,Cyanobacterial water bloom (aoko),Planktonic,"
"
NIES-76,National Institute for Environmental Studies,Dolichospermum,spiroides,Cyanophyta,Cyanophyceae,Anabaena spiroides Klebahn; Anabaena spiroides var. crassa Lemmermann 1898,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,Cyanobacterial water bloom (aoko),,"
"
NIES-77,National Institute for Environmental Studies,Dolichospermum,crassum,Cyanophyta,Cyanophyceae,Anabaena crassa (Lemmermann) Kom?rkov?-Legnov? & Cronberg 1992; Anabaena spiroides f. crassa (Lemmerman) Elenkin,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,Cyanobacterial water bloom (aoko),Planktonic,"
"
NIES-78,National Institute for Environmental Studies,Dolichospermum,crassum,Cyanophyta,Cyanophyceae,Anabaena crassa (Lemmermann) Kom?rkov?-Legnov? & Cronberg 1992; Anabaena spiroides f. crassa (Lemmerman) Elenkin,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Cyanobacterial water bloom (aoko),Planktonic,"
"
NIES-79,National Institute for Environmental Studies,Dolichospermum,pseudocompactum,Cyanophyta,Cyanophyceae,Anabaena pseudocompacta M.Watanabe,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2013 Nov],Cryopreservation,Uncertain,Cyanobacterial water bloom (aoko),Planktonic,"
"
NIES-80,National Institute for Environmental Studies,Dolichospermum,planctonicum,Cyanophyta,Cyanophyceae,Anabaena planctonica Brunnthaler 1903; Anabaena solitaria f. planctonica (Brunnthaler) Kom?rek 1958; Anabaena limnetica G.M.Smith 1916,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Cyanobacterial water bloom (aoko),Planktonic,"Genome decoded strain
"
NIES-81,National Institute for Environmental Studies,Aphanizomenon,flos-aquae,Cyanophyta,Cyanophyceae,,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,Uncertain,Cyanobacterial water bloom (aoko); Offensive odor,,"Draft genome sequence (Cao et al. 2014)
"
NIES-83,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hemieutreptia antiqua Hada 1974; Chattonella antiqua (Hada) Ono 1980,"off Hiketa, Seto Inland Sea,",,Eutrophic,,Coastal,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-84,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hemieutreptia antiqua Hada 1974; Chattonella antiqua (Hada) Ono 1980,"off Hiketa, Seto Inland Sea,",,Eutrophic,,Coastal,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-85,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hemieutreptia antiqua Hada 1974; Chattonella antiqua (Hada) Ono 1980,"Shodo Isl.,",,Eutrophic,,Coastal,Unialgal; Clonal; Non-axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-86,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hemieutreptia antiqua Hada 1974; Chattonella antiqua (Hada) Ono 1980,"Uranouchi Bay,",,,,Inner bay,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,Red tide,,"
"
NIES-87,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Offensive odor,,"ST1 (Tanabe et al. 2007); Genome decoded strain (Yamaguchi et al. 2018)
"
NIES-88,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kawaguchi,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"ST3 (Tanabe et al. 2007); Genome decoded strain (Parajuli et al. 2016)
"
NIES-89,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kawaguchi,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"ST4 (Tanabe et al. 2007)
"
NIES-90,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kawaguchi,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"ST5 (Tanabe et al. 2007)
"
NIES-91,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST77 (Tanabe et al. 2007)
"
NIES-92,National Institute for Environmental Studies,Tetradesmus,acuminatus,Chlorophyta,Chlorophyceae,,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2018 Mar],Cryopreservation,Yes,,,"
"
NIES-93,National Institute for Environmental Studies,Tetradesmus,dimorphus,Chlorophyta,Chlorophyceae,,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2012 Dec],Cryopreservation,Uncertain,,,"
"
