;RCC2945;RCC2945;Ulvophyceae Unknwon;UPMC;S;UK;K,  100 µmol/m2/s, 15ºC,12h:12h
;RCC2946;RCC2946;Synchroma_grande;UPMC;S;Spain;K/2ET,  20 µmol/m2/s, 20ºC,12h:12h
;RCC2960;RCC2960;Acrochaete sp.;UPMC;S;Japan;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC2964;RCC2964;Stylonema_sp;UPMC;S;Japan;PCRS11,  100 µmol/m2/s, 20ºC,12h:12h
;RCC2977;RCC2977;Cruciplacolithus sp.;UPMC;S;Japan;K,  100 µmol/m2/s, 22ºC,12h:12h
;RCC3000;RCC3000;Azadinium sp.nov.;UPMC;S;Italy;F/2,  100 µmol/m2/s, 20ºC,12h:12h
;RCC3038;RCC3038;Alexandrium catenella;UPMC;S;France;K/2,  100 µmol/m2/s, 20ºC,12h:12h
;RCC316;RCC316;Synechococcus sp. cladeXVI;UPMC;S;Algeria;PCRS11,  100 µmol/m2/s, 22ºC,12h:12h
;RCC32;RCC32;Synechococcus sp. cladeIb;UPMC;S;France;PCRS11,  100 µmol/m2/s, 22ºC,12h:12h
;RCC3390;RCC3390;Guanchochroma wildpretii;UPMC;S;Spain;K,  50 µmol/m2/s, 20ºC,12h:12h
;RCC3401;RCC3401;Ostreococcus lucimarinus;UPMC;S;USA;F/2,  100 µmol/m2/s, 20ºC,12h:12h
;RCC3402;RCC3402;Picocystis salinarum;UPMC;S;USA;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC347;RCC347;Chlorella sp.;UPMC;S;Kiribati;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC348;RCC348;Tetraselmis sp.;UPMC;S;UNKNOWN;F/2,  100 µmol/m2/s, 20ºC,12h:12h
;RCC350;RCC350;Rhodomonas baltica;UPMC;S;UNKNOWN;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC357;RCC357;Nannochloropsis_sp;UPMC;S;France;F/2,  100 µmol/m2/s, 15ºC,12h:12h
;RCC376;RCC376;Lotharella_reticulosa;UPMC;S;Mediterranean Sea;K, 100 µmol/m2/s, 20ºC,12h:12h
;RCC391;RCC391;Mamiella species nov;UPMC;S;Marocco;L1,  100 µmol/m2/s, 22ºC,12h:12h
;RCC4086;RCC4086;Alexandrium fundyense;UPMC;S;USA;K/2,  100 µmol/m2/s, 15ºC,12h:12h
;RCC4088;RCC4088;Alexandrium mediterraneum;UPMC;S;Italy;K/2,  100 µmol/m2/s, 15ºC,12h:12h
;RCC4104;RCC4104;Protoceratium reticulatum;UPMC;S;Japan;f/2,  100 µmol/m2/s, 20ºC,12h:12h
;RCC4105;RCC4105;Prorocentrum minimum;UPMC;S;Japan;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC4110;RCC4110;Pycnococcus sp.;UPMC;S;Japan;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC417;RCC417;Mantoniella squamata;UPMC;S;UK;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC42;RCC42;Synechococcus sp. cladeVIa;UPMC;S;Mediterranean Sea;PCRS11,  100 µmol/m2/s, 22ºC,12h:12h
;RCC4299;RCC4299;Nodularia spumigena;UPMC;S;Denmark;PCRS11,  20 µmol/m2/s, 20ºC,12h:12h
;RCC431;RCC431;Gomphonema_sp;UPMC;S;France;K+Si,  100 µmol/m2/s, 15ºC,12h:12h
;RCC446;RCC446;Florenciella parvula;UPMC;S;France;K,  100 µmol/m2/s, 15ºC,12h:12h
;RCC4497;RCC4497;Pavlova sp.;UPMC;S;Japan;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC4637;RCC4637;Dynophyceae Unknown;UPMC;S;Peru;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC4638;RCC4638;Heterocapsa sp.;UPMC;S;Peru;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC5;RCC5;Dunaliella_sp;UPMC;S;UNKNOWN;K, 100 µmol/m2/s, 20ºC,12h:12h
;RCC504;RCC504;Microchloropsis gaditana;UPMC;S;Spain;F/2,  100 µmol/m2/s, 20ºC,12h:12h
;RCC540;RCC540;Synechococcus sp. clade IX;UPMC;S;Israel;PCRS11,  100 µmol/m2/s, 20ºC,12h:12h
;RCC545;RCC545;Synechococcus sp. clade VIII;UPMC;S;Israel;PCRS11,  100 µmol/m2/s, 20ºC,12h:12h
;RCC562;RCC562;Microchloropsis_gaditana;UPMC;S;Spain;F/2,  100 µmol/m2/s, 20ºC,12h:12h
;RCC571;RCC571;Tetraselmis sp.;UPMC;S;Spain;F/2,  100 µmol/m2/s, 20ºC,12h:12h
;RCC574;RCC574;Chrysochromulina sp.;UPMC;S;Spain;F/2,  100 µmol/m2/s, 20ºC,12h:12h
;RCC6;RCC6;Dunaliella tertiolecta;UPMC;S;Norway;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC619;RCC619;Pyramimonas parkae;UPMC;S;USA;F/2,  100 µmol/m2/s, 15ºC,12h:12h
;RCC632;RCC632;Picochlorum sp.;UPMC;S;Germany;K,  100 µmol/m2/s, 15ºC,12h:12h
;RCC650;RCC650;Synechococcus sp. Clade V;UPMC;S;USA;PCRS11,  10 µmol/m2/s, 20ºC,12h:12h
;RCC653;RCC653;Porphyridium cruentum;UPMC;S;Switzerland;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC655;RCC655;Rhodella maculata;UPMC;S;UK;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC682;RCC682;Bathycoccus prasinos;UPMC;S;Germany;K,  100 µmol/m2/s, 15ºC,12h:12h
;RCC716;RCC716;Bathycoccus prasinos;UPMC;S;International waters, Indian Ocean;L1,  50 µmol/m2/s, 22ºC,12h:12h
;RCC717;RCC717;Chloropicon_primus;UPMC;S;International waters, Indian Ocean;K,  20 µmol/m2/s, 20ºC,12h:12h
;RCC749;RCC749;Alexandrium minutum;UPMC;S;France;F/2,  100 µmol/m2/s, 20ºC,12h:12h
;RCC8;RCC8;Nannochloropsis granulata;UPMC;S;USA;F/2,  100 µmol/m2/s, 20ºC,12h:12h
;RCC809;RCC809;Ostreococcus sp.;UPMC;S;International waters, Tropical Atlantic;L1,  20 µmol/m2/s, 20ºC,12h:12h
;RCC821;RCC821;Rhinomonas sp.;UPMC;S;France;K,  65 µmol/m2/s, 15ºC,12h:12h
;RCC856;RCC856;Chloropicon_laureae;UPMC;S;France;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC884;RCC884;Pelagomonas calceolata;UPMC;S;France;K,  20 µmol/m2/s, 20ºC,12h:12h
;RCC903;RCC903;Coccomyxa sp.;UPMC;S;Israel;K,  100 µmol/m2/s, 20ºC,12h:12h
;RCC927;RCC927;Prasinoderma singularis;UPMC;S;Chile;K,  20 µmol/m2/s, 20ºC,12h:12h
;RCC96;RCC96;Aureococcus anophagefferens;UPMC;S;USA;F/2,  100 µmol/m2/s, 20ºC,12h:12h
;RCC998;RCC998;Chloropicon_mariensis;UPMC;S;France;K,  20 µmol/m2/s, 20ºC,12h:12h
;RCCArg;RCCArg;Chaetoceros gracilis;UPMC;S;France;UNKNOWN
;RCCArg;RCCArg;Dunaliella salina;UPMC;S;France;UNKNOWN
;LEGE 02266;N15001;Sphaerospermopsis sp.;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
